seed,model,final_A_TF,final_R_ethical,final_H_self,final_capture_resistance,decision_accuracy,high_stakes_accuracy,long_term_trajectory_value,external_capture_rate,early_R_gain,late_R_gain
11848,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4775,0.432579185520362,-0.045,0.6923990498812351,-0.040000000000000036,-0.0039599999999999635
11848,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4675,0.4161378059836809,-0.06916666666666667,0.717827626918536,-0.040000000000000036,0.0
11849,no_codevelopment,0.22,0.54,0.68,0.28,0.47625,0.4575955265610438,-0.00875,0.7167630057803468,0.0,0.0
11849,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4820833333333333,0.4319029850746269,-0.025416666666666667,0.6909722222222222,-0.03604000000000007,0.0
11849,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.46208333333333335,0.4330637915543576,-0.06375,0.7171361502347418,-0.040000000000000036,0.0
11850,no_codevelopment,0.22,0.54,0.68,0.28,0.49041666666666667,0.4319634703196347,-0.027916666666666666,0.7009237875288684,0.0,0.0
11850,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4666666666666667,0.40874524714828897,-0.051666666666666666,0.7228327228327228,-0.040000000000000036,0.0
11850,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.48875,0.44686648501362397,-0.01875,0.7222222222222222,-0.040000000000000036,0.0
11851,no_codevelopment,0.22,0.54,0.68,0.28,0.5041666666666667,0.47659176029962547,0.03833333333333333,0.6861768368617683,0.0,0.0
11851,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.49,0.42664266426642666,-0.04083333333333333,0.6772554002541296,-0.040000000000000036,0.0
11851,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.48625,0.43466666666666665,-0.04375,0.6819221967963387,-0.040000000000000036,0.0
11852,no_codevelopment,0.22,0.54,0.68,0.28,0.5025,0.4537735849056604,0.02,0.6870503597122302,0.0,0.0
11852,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.47333333333333333,0.4172003659652333,-0.0575,0.7038777908343126,-0.040000000000000036,0.0
11852,bidirectional_codevelopment,0.1,0.5,0.9,0.1,0.4716666666666667,0.42843511450381677,-0.0275,0.7024504084014003,-0.040000000000000036,0.0
11853,no_codevelopment,0.22,0.54,0.68,0.28,0.5008333333333334,0.46781504986400724,0.011666666666666667,0.6839012925969448,0.0,0.0
11853,one_way_thirdfactor_to_ethicalsense,0.22,0.5,0.9,0.1,0.4716666666666667,0.437015503875969,-0.0125,0.6829558998808105,-0.040000000000000036,0.0
